销售日期,年,月,区域,城市,连锁总部,门店,商品名称,通用名,规格,生产企业,数量,单位,单价(元),金额(元),有效期
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1118820139,G0盐酸左氧氟沙星胶囊（扬子江）,,0.1g*12s,扬子江药业集团有限公司,1.0,盒,7.4,7.4,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店114513442,胃苏颗粒（无糖型）,胃苏颗粒（无糖型）,5gx9袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,24.0,24.0,2027-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1146948131,蓝芩口服液（扬子江）,蓝芩口服液（扬子江）,每1ml相当于饮片2.12g*10ml*12支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,54.0,54.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1146948131,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,3.0,盒,74.0,222.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1146948131,荜铃胃痛颗粒,荜铃胃痛颗粒,5g*6袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,31.0,31.0,2027-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1146948131,格列美脲片（佑苏）,格列美脲片（佑苏）,2mgX10s,江苏扬子江药业集团广州海瑞药业有限公司,2.0,盒,12.0,24.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1146948131,氯雷他定片（雪苏）（限连锁）,氯雷他定片（雪苏）（限连锁）,10mgX12片,扬子江药业集团上海海尼药业有限公司,1.0,盒,10.0,10.0,2027-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1150469746,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,5.0,盒,17.0,85.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1150469746,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,1.0,盒,17.0,17.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1150469746,头孢丙烯片（元锐）（薄膜衣片）,头孢丙烯片（元锐）（薄膜衣片）,0.25gx10片,扬子江药业集团有限公司,1.0,盒,31.0,31.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1150469746,罗红霉素胶囊,罗红霉素胶囊,150mg*24s,扬子江药业集团有限公司,1.0,盒,26.0,26.0,2027-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1150469746,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,70.0,70.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1152066002,兰索拉唑肠溶片,兰索拉唑肠溶片,15mgX14s,扬子江药业集团四川海蓉药业有限公司,1.0,盒,22.0,22.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1152066002,生脉饮,生脉饮,10ml*30支,扬子江药业集团江苏龙凤堂中药有限公司,2.0,盒,288.0,576.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1157255922,葡萄糖酸钙锌口服溶液,葡萄糖酸钙锌口服溶液,10mlx12支,扬子江药业集团有限公司,1.0,盒,36.0,36.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1169802413,神曲消食口服液（限连锁）,神曲消食口服液（限连锁）,10ml*6支,扬子江药业集团,2.0,盒,76.0,152.0,2026-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1182540956,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,1.0,盒,18.0,18.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1182540956,苯磺酸氨氯地平片（兰迪）,苯磺酸氨氯地平片（兰迪）,5mgx28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,24.0,24.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1182540956,苯磺酸氨氯地平片（兰迪）,苯磺酸氨氯地平片（兰迪）,5mgx28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,24.0,24.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1182540956,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,2.0,盒,18.0,36.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1204149742,苯磺酸左氨氯地平片,苯磺酸左氨氯地平片,2.5mg*28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,12.0,12.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1227116204,TG2枸地氯雷他定片（贝雪）,,8.8MG*5S,扬子江药业集团广州海瑞药业有限公司,1.0,盒,60.0,60.0,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1227116204,TG2枸地氯雷他定片（贝雪）,,8.8MG*5S,扬子江药业集团广州海瑞药业有限公司,1.0,盒,60.0,60.0,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1227116204,TG1荜铃胃痛颗粒（扬子江）,,5g*9s,扬子江药业集团江苏制药股份有限公司,1.0,盒,42.88,42.88,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1227116204,TG1散风通窍滴丸（扬子江）,,20丸*5袋,扬子江药业集团有限公司,-2.0,盒,-98.0,196.0,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1227116204,TG1散风通窍滴丸（扬子江）,,20丸*5袋,扬子江药业集团有限公司,2.0,盒,98.0,196.0,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1238535991,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,2.0,盒,18.0,36.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1238535991,苯磺酸氨氯地平片（兰迪）,苯磺酸氨氯地平片（兰迪）,5mgx28s,扬子江药业集团上海海尼药业有限公司,2.0,盒,28.0,56.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1246963942,头孢丙烯片（元锐）（薄膜衣片）,头孢丙烯片（元锐）（薄膜衣片）,0.25gx10片,扬子江药业集团有限公司,1.0,盒,30.0,30.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1246963942,苯磺酸左氨氯地平片,苯磺酸左氨氯地平片,2.5mg*28s,扬子江药业集团上海海尼药业有限公司,2.0,盒,13.0,26.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1282291808,蓝芩口服液（扬子江）,蓝芩口服液（扬子江）,每1ml相当于饮片2.12g*10ml*12支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,70.0,70.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1299082597,G1蓝芩口服液（扬子江）,,10ML*9支,扬子江药业集团有限公司,1.0,盒,52.9,52.9,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1299082597,TG1荜铃胃痛颗粒（扬子江）,,5g*9s,扬子江药业集团江苏制药股份有限公司,2.0,盒,53.6,107.2,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1299082597,G1蓝芩口服液（扬子江）,,10ML*9支,扬子江药业集团有限公司,2.0,盒,52.9,105.8,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1309891410,胃苏颗粒（无糖型）,胃苏颗粒（无糖型）,5gx9袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,25.0,25.0,2027-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1309891410,盐酸左氧氟沙星胶囊（左克）,盐酸左氧氟沙星胶囊（左克）,0.1g×12s,扬子江药业集团有限公司,1.0,盒,7.0,7.0,2027-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1317900158,TG1散风通窍滴丸（扬子江）,,20丸*5袋,扬子江药业集团有限公司,2.0,盒,98.0,196.0,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1317900158,TG1散风通窍滴丸（扬子江）,,20丸*5袋,扬子江药业集团有限公司,1.0,盒,78.4,78.4,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1317900158,TG2黄芪精（扬子江）,,10ML*30支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,158.4,158.4,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,2.0,盒,18.0,36.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,3.0,盒,74.0,222.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,6.0,盒,18.0,108.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,盐酸左氧氟沙星胶囊（左克）,盐酸左氧氟沙星胶囊（左克）,0.1g×12s,扬子江药业集团有限公司,1.0,盒,7.0,7.0,2027-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,2.0,盒,18.0,36.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,-3.0,盒,74.0,-222.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,3.0,盒,74.0,222.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,葡萄糖酸钙锌口服溶液,葡萄糖酸钙锌口服溶液,10mlx12支,扬子江药业集团有限公司,1.0,盒,24.0,24.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1319604478,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,74.0,74.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1351456239,厄贝沙坦胶囊（科苏）,厄贝沙坦胶囊（科苏）,75mgx12粒,扬子江药业集团广州海瑞药业有限公司,2.0,盒,12.0,24.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1359937825,银杏叶片（依康宁）,银杏叶片（依康宁）,每片含总黄酮醇苷19.2mg、萜类内酯4.8mg *84片,扬子江药业集团有限公司,1.0,盒,73.0,73.0,2026-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1359937825,苯磺酸左氨氯地平片,苯磺酸左氨氯地平片,2.5mg*28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,13.0,13.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1359937825,苯磺酸左氨氯地平片,苯磺酸左氨氯地平片,2.5mg*28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,13.0,13.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店137333224,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,3.0,盒,73.0,219.0,2026-03-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1374980008,苯磺酸左氨氯地平片,苯磺酸左氨氯地平片,2.5mg*28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,12.0,12.0,2026-11-30
2025-03-26,2025,3,区域2548513671,,连锁总部1380472851,门店1397186102,(Y)(G)(扬子江)百乐眠胶囊,,每粒装0.27克*56粒,扬子江药业集团有限公司,1.0,盒,118.0,118.0,
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1427854234,胃苏颗粒,胃苏颗粒,15g×9袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,23.0,23.0,2027-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1427854234,格列吡嗪缓释片（秦苏）,格列吡嗪缓释片（秦苏）,5mgx24片,扬子江药业集团有限公司,1.0,盒,17.0,17.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1427854234,荜铃胃痛颗粒,荜铃胃痛颗粒,5g*6袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,34.0,34.0,2027-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1429637286,生脉饮,生脉饮,10ml*30支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,253.0,253.0,2026-05-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1435695110,厄贝沙坦片（科苏）,厄贝沙坦片（科苏）,75mg*24s,扬子江药业集团江苏紫龙药业有限公司,2.0,盒,18.0,36.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1435695110,葡萄糖酸钙锌口服溶液,葡萄糖酸钙锌口服溶液,10mlx12支,扬子江药业集团有限公司,1.0,盒,24.0,24.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1435695110,硝苯地平缓释片（I）,硝苯地平缓释片（I）,10mgx64s,扬子江药业集团,2.0,盒,19.0,38.0,2027-03-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1473531929,百乐眠胶囊,百乐眠胶囊,0.27g*56s,扬子江药业集团有限公司,1.0,盒,112.0,112.0,2025-12-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1473531929,兰索拉唑肠溶片,兰索拉唑肠溶片,15mgX14s,扬子江药业集团四川海蓉药业有限公司,1.0,盒,23.0,23.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1477481831,氯雷他定片（雪苏）（限连锁）,氯雷他定片（雪苏）（限连锁）,10mgX12片,扬子江药业集团上海海尼药业有限公司,1.0,盒,11.0,11.0,2025-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店148090592,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,54.0,54.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1489448661,蓝芩口服液（扬子江）,蓝芩口服液（扬子江）,每1ml相当于饮片2.12g*10ml*12支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,70.0,70.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部522934151,门店1568059140,TG1百乐眠胶囊（扬子江）,,0.27g*24s,扬子江药业集团有限公司,1.0,盒,38.8,38.8,1970-01-01
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1597564632,马来酸依那普利片（依苏）,马来酸依那普利片（依苏）,5mg×16s,扬子江药业集团江苏制药股份有限公司,4.0,盒,5.0,20.0,2027-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1607728654,格列吡嗪缓释片（秦苏）,格列吡嗪缓释片（秦苏）,5mgx24片,扬子江药业集团有限公司,1.0,盒,16.0,16.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1607728654,甲钴胺胶囊（奇信）,甲钴胺胶囊（奇信）,0.5mgx50s,扬子江药业集团南京海陵药业有限公司,1.0,盒,29.0,29.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1609554423,氯雷他定片（雪苏）（限连锁）,氯雷他定片（雪苏）（限连锁）,10mgX12片,扬子江药业集团上海海尼药业有限公司,1.0,盒,10.0,10.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1629071413,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,291.0,291.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1673771313,甲钴胺胶囊（奇信）,甲钴胺胶囊（奇信）,0.5mgx50s,扬子江药业集团南京海陵药业有限公司,1.0,盒,36.0,36.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1673771313,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,74.0,74.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1673771313,罗红霉素胶囊,罗红霉素胶囊,150mg*24s,扬子江药业集团有限公司,1.0,盒,30.0,30.0,2027-03-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1673771313,苯磺酸左氨氯地平片,苯磺酸左氨氯地平片,2.5mg*28s,扬子江药业集团上海海尼药业有限公司,1.0,盒,13.0,13.0,2026-11-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1673771313,枸地氯雷他定片（贝雪）,枸地氯雷他定片（贝雪）,8.8mg*5s,扬子江药业集团广州海瑞药业有限公司,1.0,盒,59.0,59.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店170048413,罗红霉素胶囊,罗红霉素胶囊,150mg*24s,扬子江药业集团有限公司,1.0,盒,36.0,36.0,2027-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店170048413,蓝芩口服液（扬子江）,蓝芩口服液（扬子江）,每1ml相当于饮片2.12g*10ml*12支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,66.0,66.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1717742558,枸地氯雷他定片（贝雪）,枸地氯雷他定片（贝雪）,8.8mg*5s,扬子江药业集团广州海瑞药业有限公司,1.0,盒,59.0,59.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1717742558,枸地氯雷他定片（贝雪）,枸地氯雷他定片（贝雪）,8.8mg*5s,扬子江药业集团广州海瑞药业有限公司,1.0,盒,59.0,59.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1717742558,枸地氯雷他定片（贝雪）,枸地氯雷他定片（贝雪）,8.8mg*5s,扬子江药业集团广州海瑞药业有限公司,1.0,盒,59.0,59.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,醋酸曲安奈德益康唑乳膏（扶严宁）,醋酸曲安奈德益康唑乳膏（扶严宁）,15g,扬子江药业集团有限公司,2.0,支,9.0,18.0,2027-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,胃苏颗粒（无糖型）,胃苏颗粒（无糖型）,5gx9袋,扬子江药业集团江苏制药股份有限公司,4.0,盒,21.0,84.0,2027-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,-1.0,盒,197.0,-197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,依帕司他片（唐林）,依帕司他片（唐林）,50mg*18片,扬子江药业集团南京海陵药业有限公司,-1.0,盒,57.0,-57.0,2026-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,葡萄糖酸钙锌口服溶液,葡萄糖酸钙锌口服溶液,10mlx12支,扬子江药业集团有限公司,4.0,盒,19.0,76.0,2026-12-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,依帕司他片（唐林）,依帕司他片（唐林）,50mg*18片,扬子江药业集团南京海陵药业有限公司,1.0,盒,57.0,57.0,2026-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,胃苏颗粒（无糖型）,胃苏颗粒（无糖型）,5gx9袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,15.0,15.0,2027-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,依帕司他片（唐林）,依帕司他片（唐林）,50mg*18片,扬子江药业集团南京海陵药业有限公司,1.0,盒,57.0,57.0,2026-02-28
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,格列吡嗪缓释片（秦苏）,格列吡嗪缓释片（秦苏）,5mgx24片,扬子江药业集团有限公司,1.0,盒,11.0,11.0,2026-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,-1.0,盒,197.0,-197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,-1.0,盒,197.0,-197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1780412030,黄芪精（精装）,黄芪精（精装）,10ml*60支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,197.0,197.0,2026-09-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1786020157,胃苏颗粒（无糖型）,胃苏颗粒（无糖型）,5gx9袋,扬子江药业集团江苏制药股份有限公司,1.0,盒,25.0,25.0,2027-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1788548715,苏黄止咳胶囊,苏黄止咳胶囊,0.45g*18粒,扬子江药业集团有限公司,1.0,盒,63.0,63.0,2026-04-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1826612772,格列吡嗪缓释片（秦苏）,格列吡嗪缓释片（秦苏）,5mgX12s,扬子江药业集团有限公司,1.0,盒,8.0,8.0,2026-08-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1826612772,依帕司他片（唐林）,依帕司他片（唐林）,50mg*18片,扬子江药业集团南京海陵药业有限公司,1.0,盒,58.0,58.0,2025-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1828441148,蓝芩口服液（扬子江）,蓝芩口服液（扬子江）,每1ml相当于饮片2.12g*10ml*12支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,70.0,70.0,2026-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1828441148,苏黄止咳胶囊,苏黄止咳胶囊,0.45gx9粒,扬子江药业集团北京海燕药业有限公司,1.0,盒,31.0,31.0,2026-01-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1843550411,葡萄糖酸钙锌口服溶液,葡萄糖酸钙锌口服溶液,10mlx12支,扬子江药业集团有限公司,1.0,盒,24.0,24.0,2025-10-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1843550411,枸地氯雷他定片（贝雪）,枸地氯雷他定片（贝雪）,8.8mg*5s,扬子江药业集团广州海瑞药业有限公司,1.0,盒,53.0,53.0,2026-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1843550411,胃苏颗粒（无糖型）,胃苏颗粒（无糖型）,5gx9袋,扬子江药业集团江苏制药股份有限公司,2.0,盒,16.0,32.0,2027-06-30
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1847301350,罗红霉素胶囊,罗红霉素胶囊,150mg*24s,扬子江药业集团有限公司,1.0,盒,30.0,30.0,2027-07-31
2025-03-26,2025,3,区域1686919203,,连锁总部738998451,门店1847301350,蓝芩口服液（扬子江）,蓝芩口服液（扬子江）,每1ml相当于饮片2.12g*10ml*12支,扬子江药业集团江苏龙凤堂中药有限公司,1.0,盒,70.0,70.0,2026-10-31
